region,system,month,tariff_id,shadow_price_usd_ton,cost_optimal_cost_usd,emissions_optimal_cost_usd,cost_optimal_emissions_ton,emissions_optimal_emissions_ton
ISONE,25uptime_0flex,7,62feb9a3c2753041cf767896,0.24000453893442691,1289.0410905263154,1298.1021705263156,296.4660173953309,258.7122314134926
ISONE,25uptime_0flex,7,62fec4970cab311f710e99bb,0.23736816457009882,1268.766303157895,1277.861423157895,297.02874287196295,258.7122314134926
ISONE,25uptime_0flex,7,6304075dd9ca8264236c4eba,-0.0,1521.0658400000002,1521.0658400000002,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,6304117e36a8842e64487da8,-0.0,1521.0658400000002,1521.0658400000002,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,630538444623fe71b5779247,2.3543526837161046,297.82319199999966,380.46319199999965,293.8131746782959,258.7122314134926
ISONE,25uptime_0flex,7,630539d64623fe71b5779248,2.214037115270001,229.41167199999995,307.17167199999994,293.8335938520698,258.7122314134926
ISONE,25uptime_0flex,7,630679df42461c1ff32959da,-0.0,1162.8723760000005,1162.8723760000005,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,63067d2a4ab72161d03eb707,-0.0,858.545624,858.545624,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,639381fa61d25403340449f6,0.004776027930251846,1861.81656,1862.00136,297.4054724604499,258.7122314134926
ISONE,25uptime_0flex,7,6393852c051db980fe0c1f20,0.0047760279302430314,996.8165600000002,997.0013599999999,297.4054724604499,258.7122314134926
ISONE,25uptime_0flex,7,6393926c2b8031585e0991c4,-7.161009309348658e-10,562.5495200317877,562.5495199999998,303.10243065516016,258.7122314134926
ISONE,25uptime_0flex,7,63939b0c61d25403340449f7,-0.005172686029316568,197.27492000000015,197.05320000000023,301.57584205824827,258.7122314134926
ISONE,25uptime_0flex,7,6393a016b523a2f7310ed569,0.020348448151210334,239.35592000000003,240.07812000000018,294.20388141205603,258.7122314134926
ISONE,25uptime_0flex,7,6393a6f254f5d1f2520946d8,-0.017633837317710458,234.0819999999997,233.35979999999972,299.6675825836154,258.7122314134926
ISONE,25uptime_0flex,7,6393dde460bded7f520f3fb8,-8.022607738530507e-10,555.3222400356121,555.3222399999996,303.10243065516016,258.7122314134926
ISONE,25uptime_0flex,7,6393e36b60bded7f520f3fb9,0.08432582437314509,1170.2425646315792,1171.886204631579,278.20376928311777,258.7122314134926
ISONE,25uptime_0flex,7,6393e454b523a2f7310ed571,0.07942643876253778,1163.524244631579,1165.167884631579,279.40609638860184,258.7122314134926
ISONE,25uptime_0flex,7,6393e56428d17553280e33c1,-0.0,215.1607199999994,215.1607199999994,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,6393e63bb523a2f7310ed572,-0.0,208.4424000000009,208.4424000000009,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,6394a506476abb50d80f6d38,-8.350041776848382e-10,338.2325726686447,338.2325726315787,303.10243065516016,258.7122314134926
ISONE,25uptime_0flex,7,639a4e1559176ccd2a0dcd5a,1.5495121518604933,199.94627999999975,254.22627999999986,293.7426117298594,258.7122314134926
ISONE,25uptime_0flex,7,639a4fc76556218e4f0403ac,0.26767810523545704,133.1651839999997,143.37276799999978,296.8460339086366,258.7122314134926
ISONE,25uptime_0flex,7,639a64395f0e0c72180bcb4a,2.2210500220228466,469.6347920000002,554.6747920000001,297.00042804777564,258.7122314134926
ISONE,25uptime_0flex,7,63bef11b270ebbf3da0afade,-0.0,154.32400000000024,154.32400000000024,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,63bef17b0c24f6d6d500a0b8,-0.0,146.37800000000018,146.37800000000018,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,63bef1c6069a4745f10a8e90,-0.0,146.14600000000013,146.14600000000013,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,63bef215a88da879110b45b8,-0.0,156.56200000000024,156.56200000000024,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,63bef26f9654ec2236031c08,-0.0,150.058,150.058,303.10243060403207,258.7122314134926
ISONE,25uptime_0flex,7,64512cb18068b18f4d08bf4c,-8.830167386261382e-10,478.7824800391968,478.7824799999995,303.10243065516016,258.7122314134926
ISONE,25uptime_0flex,7,64512fc11bbad7f7f102b8d3,0.0040968995406225955,957.5063494736833,957.6645894736838,297.33656144417967,258.7122314134926
ISONE,50uptime_50flex,1,539fba79ec4f024bc1dc2df9,-4.947172340952247e-15,136.33199999999997,136.33199999999982,267.5369318732179,238.81172536965897
ISONE,50uptime_50flex,1,5903b55a5457a32d2ccd3b42,4.947172340952247e-15,137.56855999999908,137.56855999999922,267.5369318732179,238.81172536965897
ISONE,50uptime_50flex,1,5903b68e5457a3eb30cd3b42,-2.9683034045713483e-15,59.22368000000003,59.223679999999945,267.5369318732179,238.81172536965897
ISONE,50uptime_50flex,1,5908bba45457a316275789ff,0.7517550585527892,346.33276000000023,367.61025999999987,267.1154923352496,238.81172536965897
ISONE,50uptime_50flex,1,5908bcd35457a3d2545789ff,0.4744068170000202,326.1315599999998,339.55906000000004,267.1154923352496,238.81172536965897
ISONE,50uptime_50flex,1,59ca909d5457a39a10c8c1b6,-4.452455106857023e-15,113.40048000000087,113.40048000000074,267.5369318732179,238.81172536965897
ISONE,50uptime_50flex,1,5cdc8b985457a3e86a40c5d9,4.947172340952247e-15,145.25012,145.25012000000015,267.5369318732179,238.81172536965897
ISONE,50uptime_50flex,1,5cdc8d615457a3b62b40c5d9,-4.947172340952247e-15,120.10764000000104,120.1076400000009,267.5369318732179,238.81172536965897
